,id,type,area,bedrooms,bathrooms,parking_spaces,is_furnished,rent,iptu_plus_condominum,total_cost,sale_price,address,neighbourhood,regionName,city,latitude,longitude,for_rent,for_sale
0,892992584,Apartamento,41,1,1,0,True,2106,0,2795,0,Rua General Polidoro,Botafogo,Botafogo,Rio de Janeiro,-22.9547722,-43.184384,True,False
1,892887862,Apartamento,76,2,2,1,True,3500,0,4668,0,Rua Rosa E Silva,Grajaú,Grajaú,Rio de Janeiro,-22.9253711,-43.2663916,True,False
2,894031578,CasaCondominio,79,2,1,1,False,1234,0,1304,0,Beco Henedina,Oswaldo Cruz,Oswaldo Cruz,Rio de Janeiro,-22.8687095,-43.353522,True,False
3,894111072,CasaCondominio,90,2,3,1,False,790,0,1074,0,R. João Henrique,Cordovil,Brás de Pina,Rio de Janeiro,-22.8275346,-43.2998816,True,False
4,893120871,Apartamento,50,1,1,0,False,3833,0,4080,0,Rua Álvaro Ramos,Botafogo,Botafogo,Rio de Janeiro,-22.9587911,-43.18480311076566,True,False
5,892950198,Apartamento,73,2,1,0,False,3600,0,4677,0,Rua Guilhermina Guinle,Botafogo,Botafogo,Rio de Janeiro,-22.9497578,-43.188787,True,False
6,894261445,StudioOuKitchenette,19,1,1,0,False,1150,0,1774,0,Rua do Rezende,Centro,Centro,Rio de Janeiro,-22.91012045,-43.176637994102215,True,False
7,893427637,Casa,80,2,2,0,False,1094,0,1142,0,Rua Andrade Araújo,Oswaldo Cruz,Oswaldo Cruz,Rio de Janeiro,-22.8742003,-43.349569,True,False
8,892880064,Apartamento,89,1,2,1,False,5350,0,7441,0,Avenida Jaime Silvado,São Conrado,São Conrado,Rio de Janeiro,-22.9945519,-43.2597163,True,False
9,894216512,Apartamento,50,2,1,1,True,2099,0,2681,0,Avenida Tenente Coronel Muniz de Aragão,Anil,Freguesia ,Rio de Janeiro,-22.9474729,-43.3397476,True,False
10,894587831,Apartamento,67,2,1,0,False,2980,0,3386,410000,Travessa Jaicós,Tijuca,Tijuca,Rio de Janeiro,-22.9321402,-43.2337603,True,True
11,894600853,Apartamento,50,2,1,1,False,1100,0,1718,185000,Estrada da Boiuna,Taquara,Taquara,Rio de Janeiro,-22.9148027,-43.3977167,True,True
12,894598734,Apartamento,60,2,1,1,False,2000,0,2627,250000,Rua Borja Reis,Engenho de Dentro,Engenho de Dentro,Rio de Janeiro,-22.7873729,-43.3629516,True,True
13,894600550,Apartamento,67,2,2,0,False,2500,0,3205,0,Rua Araxá,Grajaú,Grajaú,Rio de Janeiro,-22.9253711,-43.2663916,True,False
14,893946689,StudioOuKitchenette,15,1,1,0,True,1650,0,2114,259000,Rua Riachuelo,Centro,Centro,Rio de Janeiro,-22.9014724,-43.2555117,True,True
15,894601181,Apartamento,68,2,2,1,False,1200,0,1747,350000,Rua Eulina Ribeiro,Engenho de Dentro,Engenho de Dentro,Rio de Janeiro,-22.9070087,-43.3018314,True,True
16,893814052,Apartamento,63,2,1,0,False,1237,0,1745,0,Rua Bernardino de Campos,Piedade,Piedade,Rio de Janeiro,-22.8879785,-43.3078088,True,False
17,893083318,Apartamento,105,3,3,1,False,3814,0,5575,0,Rua Pereira da Silva,Laranjeiras,Laranjeiras,Rio de Janeiro,-22.930099650000002,-43.19257423980441,True,False
18,894600782,Apartamento,70,2,1,1,False,1600,0,2014,0,Rua Coração de Maria,Méier,Méier,Rio de Janeiro,-22.9017297,-43.278034,True,False
19,894594871,Casa,95,2,1,0,False,2490,0,2705,0,Rua Caçapava,Grajaú,Grajaú,Rio de Janeiro,-22.9262604,-43.2576343,True,False
20,894079213,Apartamento,17,1,1,0,False,1850,0,2076,1850000,Travessa Inácio Bintencoutt,Tijuca,Tijuca,Rio de Janeiro,-22.9205578,-43.2302301,True,False
